ID,SubVehID,Choice,Gap,RelativeSpeed,TW,Predicted,Predicted_1,Predicted_2,,,,,,,
216,646,2,15,1,1,2,2,2,,1,1,1,,,
217,646,0,16,3,1,2,2,2,,0,0,0,,,
218,651,2,16,0,1,2,2,2,,1,1,1,,,
219,651,2,17,0,0,2,2,2,,1,1,1,,,
220,651,2,18,0,0,2,2,2,,1,1,1,,,
221,652,0,11,-4,1,0,0,0,,1,1,1,,,
222,652,2,16,1,1,2,2,2,,1,1,1,,,
223,652,1,14,0,1,0,0,0,,0,0,0,,,
224,660,0,14,0,1,0,0,0,,1,1,1,,,
225,663,2,16,4,1,2,2,2,,1,1,1,,,
226,663,2,14,0,1,0,0,0,,0,0,0,,,
227,667,1,14,0,0,2,2,2,,0,0,0,,,
228,667,2,16,0,0,2,2,2,,1,1,1,,,
229,672,2,15,0,0,2,2,2,,1,1,1,,,
230,672,0,13,-1,0,0,0,0,,1,1,1,,,
231,672,0,13,0,0,0,0,0,,1,1,1,,,
232,678,1,13,0,0,0,0,0,,0,0,0,,,
233,678,2,13,0,0,0,0,0,,0,0,0,,,
234,678,1,14,0,0,2,2,2,,0,0,0,,,
235,690,0,16,0,1,2,2,2,,0,0,0,,,
236,690,2,16,0,1,2,2,2,,1,1,1,,,
237,690,2,17,1,1,2,2,2,,1,1,1,,,
238,690,2,17,1,1,2,2,2,,1,1,1,,,
239,690,2,16,1,1,2,2,2,,1,1,1,,,
240,692,0,16,0,1,2,2,2,,0,0,0,,,
241,692,2,17,4,1,2,2,2,,1,1,1,,,
242,697,2,21,2,0,2,2,2,,1,1,1,,,
243,697,2,17,0,0,2,2,2,,1,1,1,,,
244,699,0,17,0,1,2,2,2,,0,0,0,,,
245,699,2,18,2,0,2,2,2,,1,1,1,,,
246,706,2,17,0,0,2,2,2,,1,1,1,,,
247,706,1,17,0,0,2,2,2,,0,0,0,,,
248,708,2,18,0,0,2,2,2,,1,1,1,,,
249,709,2,17,2,1,2,2,2,,1,1,1,,,
250,709,2,17,3,1,2,2,2,,1,1,1,,,
251,713,0,15,-3,1,0,0,0,,1,1,1,,,
252,713,2,17,0,1,2,2,2,,1,1,1,,,
253,713,2,16,0,0,2,2,2,,1,1,1,,,
254,713,0,17,-2,0,0,0,0,,1,1,1,,,
255,713,0,17,-3,0,0,0,0,,1,1,1,,,
