ID,SubVehID,Choice,Gap,RelativeSpeed,TW
376,927,1,11.22,2.691,1
377,927,1,10.7865,-6.408,0
378,927,1,12.954,-3.186,0
379,933,3,13.8465,0.801,1
380,939,1,14.552,1.818,1
381,939,3,13.8805,1.782,1
382,939,1,15.5805,1.395,0
383,939,3,14.331,0.513,0
384,941,1,10.931,-2.79,1
385,941,1,13.498,0.378,0
386,947,1,12.4185,-1.737,0
387,954,3,13.889,1.467,1
388,968,1,18.5895,3.879,0
389,968,3,16.728,1.404,0
390,969,1,14.926,-1.431,1
391,969,1,13.94,-1.656,1
392,973,1,14.0505,-3.042,0
393,975,3,16.405,-1.566,0
394,975,3,16.2095,-1.521,0
395,975,1,17.85,-0.432,0
396,975,3,17.833,-0.306,0
397,975,2,16.7705,-1.575,0
398,976,3,16.15,0.531,0
399,976,3,14.9515,0.693,0
400,976,1,17.2805,1.404,0
401,978,1,17.136,-7.299,1
402,978,1,17.0085,-4.698,1
403,978,3,15.9205,1.503,0
404,982,1,15.538,-1.269,1
405,982,1,15.436,-0.684,1
406,982,1,15.742,2.178,1
407,982,2,15.878,-0.945,0
408,986,3,17.68,1.476,1
409,986,3,17.731,9.513,1
410,986,1,14.994,-1.917,0
411,991,1,12.614,-5.121,0
412,997,1,14.4415,-0.639,0
413,997,3,16.66,1.08,0
414,1003,1,12.8775,-1.854,0
415,1003,3,15.3,0.909,0
416,1018,1,15.045,3.978,1
417,1018,3,14.5265,4.113,1
418,1018,3,11.8745,2.754,1
419,1018,1,16.6005,-2.781,0
420,1018,1,14.6795,-4.68,0
421,1019,2,16.983,-0.117,1
422,1019,3,16.8895,1.701,1
423,1023,3,15.776,-0.54,0
424,1023,1,16.6855,3.519,0
425,1023,3,16.5325,3.924,0
426,1023,1,16.269,-0.279,0
427,1023,1,15.9545,-0.792,0
428,1024,3,14.501,2.214,1
429,1024,1,14.62,-0.243,1
430,1024,1,14.4245,1.719,1
431,1027,1,16.439,-1.071,0
432,1027,2,13.396,2.25,0
433,1031,3,16.4135,1.449,1
434,1031,3,16.3455,1.584,0
435,1032,3,16.9235,0.585,0
436,1034,2,13.1155,-2.268,1
437,1034,1,13.8635,0.279,1
438,1034,3,12.886,0.765,1
439,1035,3,16.388,1.953,1
440,1035,2,17.2295,4.653,0
441,1035,3,16.252,-0.747,0
442,1037,1,21.0885,8.298,1
443,1037,3,17.204,4.086,0
444,1038,1,16.0905,-1.017,0
445,1045,1,14.518,-1.494,0
446,1046,1,15.895,-1.845,0
447,1046,1,14.977,-4.32,0
448,1046,3,16.32,0.117,0
449,1054,1,12.206,-2.547,1
450,1054,3,13.668,3.96,1
451,1059,3,15.402,0.387,1
452,1059,1,13.7615,2.178,1
453,1059,1,16.167,-1.566,0
454,1069,1,12.41,3.492,1
455,1069,3,11.764,4.014,1
456,1069,2,13.022,5.958,1
457,1071,3,15.589,3.978,1
458,1071,3,15.725,1.845,1
459,1071,3,13.1325,1.944,1
460,1071,1,13.8635,3.987,1
461,1073,3,13.5405,1.89,0
462,1073,1,12.2315,-0.936,0
